id,key,value,type
125175430,highway,traffic_signals,regular
125175465,highway,traffic_signals,regular
125175621,highway,traffic_signals,regular
125175635,highway,traffic_signals,regular
125175711,highway,traffic_signals,regular
125175717,highway,traffic_signals,regular
125175720,highway,traffic_signals,regular
125175723,highway,traffic_signals,regular
125175729,highway,traffic_signals,regular
125175842,highway,traffic_signals,regular
125175844,highway,traffic_signals,regular
125175845,highway,traffic_signals,regular
125175851,highway,traffic_signals,regular
125175859,highway,traffic_signals,regular
125175903,highway,traffic_signals,regular
125175915,highway,traffic_signals,regular
125176110,highway,traffic_signals,regular
125176147,highway,traffic_signals,regular
125179262,highway,traffic_signals,regular
125179264,highway,traffic_signals,regular
125179388,highway,turning_circle,regular
125182748,highway,motorway_junction,regular
125182748,ref,46A-C,regular
125183540,railway,level_crossing,regular
125183652,railway,level_crossing,regular
125184877,highway,turning_circle,regular
125184877,source,bing,regular
125185146,highway,turning_circle,regular
125185596,railway,level_crossing,regular
125187034,highway,turning_circle,regular
125187057,highway,turning_circle,regular
125187268,highway,turning_circle,regular
125188358,highway,turning_circle,regular
125188378,highway,turning_circle,regular
125189627,highway,turning_circle,regular
125189627,source,bing,regular
125189632,highway,turning_circle,regular
125189632,source,bing,regular
125189784,railway,level_crossing,regular
125190425,railway,level_crossing,regular
125191689,highway,turning_loop,regular
125194946,highway,turning_circle,regular
125195116,highway,turning_loop,regular
125195238,highway,turning_loop,regular
125195279,highway,turning_circle,regular
125195334,highway,turning_circle,regular
125197994,railway,level_crossing,regular
125198104,highway,turning_circle,regular
125198521,highway,turning_circle,regular
125198570,highway,turning_circle,regular
125198982,highway,turning_circle,regular
125199980,highway,turning_circle,regular
125200332,railway,level_crossing,regular
125200705,highway,turning_circle,regular
125201716,highway,traffic_signals,regular
125201719,highway,traffic_signals,regular
125201722,railway,level_crossing,regular
125202424,railway,level_crossing,regular
125202474,railway,level_crossing,regular
125203073,highway,turning_circle,regular
125203086,highway,turning_circle,regular
125203099,highway,turning_circle,regular
125203126,highway,traffic_signals,regular
125203126,traffic_signals,signal,regular
125204142,highway,turning_circle,regular
125204251,railway,level_crossing,regular
125206567,railway,level_crossing,regular
125208546,highway,turning_circle,regular
125209447,highway,turning_circle,regular
125209738,highway,turning_circle,regular
125210760,highway,turning_circle,regular
125210760,source,bing,regular
125210967,highway,turning_circle,regular
125211082,railway,level_crossing,regular
125212236,railway,level_crossing,regular
125212639,highway,turning_circle,regular
125216592,highway,turning_circle,regular
125217445,highway,turning_circle,regular
125218166,highway,turning_circle,regular
125218287,highway,turning_circle,regular
125218723,highway,traffic_signals,regular
125218723,traffic_signals,signal,regular
125218918,highway,traffic_signals,regular
125218921,highway,traffic_signals,regular
125218925,barrier,half,crossing
125218925,light,yes,crossing
125218925,railway,level_crossing,regular
125219992,railway,level_crossing,regular
125220001,highway,traffic_signals,regular
125221137,highway,turning_circle,regular
125222175,railway,level_crossing,regular
125222227,crossing,traffic_signals,regular
125222227,highway,traffic_signals,regular
125222352,highway,traffic_signals,regular
125222397,crossing,traffic_signals,regular
125222397,highway,traffic_signals,regular
125223409,railway,level_crossing,regular
125227639,railway,level_crossing,regular
125233048,highway,turning_circle,regular
125233497,highway,turning_circle,regular
125234962,highway,turning_circle,regular
125234962,source,bing,regular
125235364,highway,turning_circle,regular
125235911,railway,level_crossing,regular
125236227,railway,level_crossing,regular
125238295,railway,level_crossing,regular
125239855,railway,level_crossing,regular
125239855,wikidata,Q29094078,regular
125239855,wikipedia,en:2017 Biloxi train crash,regular
125239859,highway,traffic_signals,regular
125239861,highway,traffic_signals,regular
125240116,railway,level_crossing,regular
125248048,highway,turning_circle,regular
125248079,barrier,half,crossing
125248079,bell,yes,crossing
125248079,light,yes,crossing
125248079,railway,level_crossing,regular
125249008,highway,turning_circle,regular
125249772,highway,turning_circle,regular
125250340,railway,level_crossing,regular
125250543,highway,turning_circle,regular
125250543,source,Bing,regular
125252989,highway,turning_circle,regular
125253144,highway,turning_circle,regular
125253144,source,bing,regular
125253222,highway,turning_circle,regular
125253238,highway,turning_circle,regular
125253730,railway,level_crossing,regular
125254106,highway,turning_circle,regular
125254999,highway,turning_circle,regular
125255781,highway,turning_circle,regular
125256148,highway,turning_circle,regular
125257389,railway,level_crossing,regular
125258114,railway,level_crossing,regular
125260120,highway,turning_circle,regular
125260796,railway,level_crossing,regular
125263251,railway,level_crossing,regular
125263569,highway,turning_circle,regular
125263572,highway,turning_circle,regular
125263906,railway,level_crossing,regular
125264013,railway,level_crossing,regular
125264076,highway,turning_circle,regular
125264591,highway,turning_circle,regular
125264801,railway,level_crossing,regular
125264833,highway,traffic_signals,regular
125264833,traffic_signals,signal,regular
125265057,highway,turning_circle,regular
125266669,railway,level_crossing,regular
125266866,railway,level_crossing,regular
125266866,supervised,x,regular
125269761,highway,turning_circle,regular
125270316,highway,turning_circle,regular
125273516,crossing,traffic_signals,regular
125273516,highway,traffic_signals,regular
125273530,highway,traffic_signals,regular
125273537,highway,traffic_signals,regular
125273539,highway,traffic_signals,regular
125273582,highway,traffic_signals,regular
125273585,highway,traffic_signals,regular
125273588,highway,traffic_signals,regular
125273607,crossing,traffic_signals,regular
125273607,highway,traffic_signals,regular
125274112,highway,turning_circle,regular
125276185,highway,turning_circle,regular
125276518,railway,level_crossing,regular
125277295,railway,level_crossing,regular
125279047,highway,turning_circle,regular
125281157,railway,level_crossing,regular
125281194,railway,level_crossing,regular
125282819,highway,turning_circle,regular
125283170,railway,level_crossing,regular
125283448,railway,level_crossing,regular
125283471,railway,level_crossing,regular
125283483,railway,level_crossing,regular
125283715,railway,level_crossing,regular
125283862,railway,level_crossing,regular
125283877,railway,level_crossing,regular
125283884,railway,level_crossing,regular
125283901,railway,level_crossing,regular
125283934,railway,level_crossing,regular
125283952,railway,level_crossing,regular
125283961,railway,level_crossing,regular
125283965,railway,level_crossing,regular
125283974,railway,level_crossing,regular
125283979,railway,level_crossing,regular
125283982,railway,level_crossing,regular
125283987,railway,level_crossing,regular
125283995,railway,level_crossing,regular
125284000,railway,level_crossing,regular
125284004,railway,level_crossing,regular
125284006,railway,level_crossing,regular
125284021,railway,level_crossing,regular
125284025,railway,level_crossing,regular
125284069,railway,level_crossing,regular
125284072,railway,level_crossing,regular
125284093,railway,level_crossing,regular
125284120,railway,level_crossing,regular
125284124,railway,level_crossing,regular
125284130,railway,level_crossing,regular
125284161,railway,level_crossing,regular
125284235,railway,level_crossing,regular
125284238,railway,level_crossing,regular
125284246,railway,level_crossing,regular
125284262,railway,level_crossing,regular
125284456,railway,level_crossing,regular
125287189,highway,turning_circle,regular
125287905,highway,turning_circle,regular
125288472,railway,level_crossing,regular
125295165,highway,turning_circle,regular
125295334,highway,motorway_junction,regular
125295334,ref,2,regular
125295357,highway,motorway_junction,regular
125295357,ref,1C,regular
125297199,highway,turning_circle,regular
125301645,highway,turning_circle,regular
125327452,highway,motorway_junction,regular
125327452,ref,50,regular
125328312,railway,level_crossing,regular
125328341,highway,traffic_signals,regular
125329877,highway,turning_loop,regular
125329881,highway,turning_loop,regular
125334222,railway,level_crossing,regular
125335986,power,tower,regular
125335998,power,tower,regular
125336000,design,monopolar,regular
125336000,power,tower,regular
125336002,power,tower,regular
125336007,power,tower,regular
125336010,power,tower,regular
125336015,power,tower,regular
125336027,power,tower,regular
125336030,power,tower,regular
125336033,power,tower,regular
125336036,power,tower,regular
125336041,power,tower,regular
125336045,power,tower,regular
125336051,design,monopolar,regular
125336051,power,tower,regular
125336054,power,tower,regular
125336060,power,tower,regular
125336061,power,tower,regular
125336065,power,tower,regular
125336090,power,tower,regular
125336096,power,tower,regular
125336106,power,tower,regular
125336122,power,tower,regular
125338869,power,tower,regular
125338872,power,tower,regular
125341862,highway,traffic_signals,regular
125345687,highway,motorway_junction,regular
125345687,ref,50,regular
125346671,highway,traffic_signals,regular
125346674,highway,traffic_signals,regular
125348007,highway,traffic_signals,regular
125348009,highway,traffic_signals,regular
125348459,highway,stop,regular
125350322,highway,stop,regular
125352052,highway,turning_circle,regular
125352052,source,bing,regular
125355801,highway,turning_loop,regular
125356984,highway,turning_loop,regular
125359854,highway,stop,regular
125360640,highway,turning_circle,regular
125360640,source,bing,regular
125361520,highway,turning_circle,regular
125361520,source,bing,regular
125362914,highway,turning_circle,regular
125365121,highway,turning_circle,regular
125365121,source,bing,regular
125365904,highway,turning_circle,regular
125365904,source,bing,regular
125371507,highway,traffic_signals,regular
125371510,highway,traffic_signals,regular
125371562,highway,traffic_signals,regular
125371564,highway,traffic_signals,regular
125371720,highway,traffic_signals,regular
125371726,highway,traffic_signals,regular
125371787,highway,traffic_signals,regular
125371792,highway,traffic_signals,regular
125373247,highway,traffic_signals,regular
125376009,highway,turning_circle,regular
125376009,source,bing,regular
125377126,highway,turning_circle,regular
125377126,source,bing,regular
125378082,highway,turning_circle,regular
125385763,railway,level_crossing,regular
125386347,highway,turning_circle,regular
125386347,source,bing,regular
125387041,highway,turning_circle,regular
125387041,source,bing,regular
125389581,highway,stop,regular
125389589,railway,level_crossing,regular
125389602,highway,turning_circle,regular
125389602,source,bing,regular
125390244,highway,turning_circle,regular
125390244,source,bing,regular
125395200,highway,turning_loop,regular
125395394,highway,turning_circle,regular
125395394,source,bing,regular
125395397,highway,turning_circle,regular
125395397,source,bing,regular
125395812,highway,turning_circle,regular
125395812,source,bing,regular
125396256,highway,turning_circle,regular
125399054,highway,stop,regular
125405213,highway,turning_loop,regular
125405213,source,bing,regular
125406590,highway,turning_circle,regular
125412258,highway,turning_circle,regular
125412258,source,bing,regular
125413737,highway,turning_circle,regular
125416613,highway,turning_circle,regular
125416939,railway,level_crossing,regular
125417512,highway,stop,regular
125417689,highway,turning_circle,regular
125418408,highway,turning_circle,regular
125418408,source,bing,regular
125420405,highway,turning_circle,regular
125420405,source,bing,regular
125421534,highway,turning_circle,regular
125421534,source,bing,regular
125421754,highway,turning_circle,regular
125421754,source,bing,regular
125423625,highway,turning_circle,regular
125423625,source,bing,regular
125425127,highway,turning_circle,regular
125425221,highway,turning_circle,regular
125426947,highway,turning_circle,regular
125428362,highway,traffic_signals,regular
125429454,highway,turning_circle,regular
125429454,source,bing,regular
125430335,highway,turning_circle,regular
125430335,source,bing,regular
125431233,highway,turning_circle,regular
125432645,highway,turning_circle,regular
125435654,highway,turning_circle,regular
125435654,source,bing,regular
125436325,highway,turning_circle,regular
125436325,source,bing,regular
125437628,direction,backward,regular
125437628,highway,stop,regular
125441832,highway,turning_circle,regular
125441832,source,bing,regular
125445835,highway,turning_circle,regular
125445835,source,bing,regular
125446600,highway,turning_circle,regular
125446600,source,bing,regular
125446784,highway,stop,regular
125449387,highway,turning_circle,regular
125449387,source,bing,regular
125451467,highway,turning_circle,regular
125451468,highway,turning_circle,regular
125451742,highway,turning_circle,regular
125451742,source,bing,regular
125453537,highway,turning_circle,regular
125453537,source,bing,regular
125453922,highway,turning_circle,regular
125453997,highway,turning_circle,regular
125453997,source,bing,regular
125454667,highway,turning_circle,regular
125454667,source,bing,regular
125457384,railway,level_crossing,regular
125459807,highway,turning_circle,regular
125459807,source,bing,regular
125462112,highway,turning_circle,regular
125462112,source,bing,regular
125464309,highway,turning_circle,regular
125464309,source,bing,regular
125464804,highway,turning_circle,regular
125464804,source,bing,regular
125464860,highway,turning_circle,regular
125464860,source,bing,regular
125465498,highway,traffic_signals,regular
125466681,highway,stop,regular
125467476,highway,turning_circle,regular
125467476,source,bing,regular
125470561,highway,traffic_signals,regular
125471223,highway,turning_circle,regular
125471223,source,bing,regular
125480622,barrier,double_half,crossing
125480622,bell,yes,crossing
125480622,light,yes,crossing
125480622,railway,level_crossing,regular
125481217,highway,turning_loop,regular
125481220,highway,turning_circle,regular
125481220,source,bing,regular
125482089,highway,stop,regular
125483794,highway,traffic_signals,regular
125483796,railway,level_crossing,regular
125485373,highway,turning_circle,regular
125485373,source,bing,regular
125487440,highway,turning_circle,regular
125487440,source,bing,regular
125487889,highway,turning_circle,regular
125490303,highway,stop,regular
125490309,railway,level_crossing,regular
125493420,highway,turning_circle,regular
125495460,highway,turning_circle,regular
125495460,source,bing,regular
125497569,highway,turning_circle,regular
125497569,source,bing,regular
125498972,highway,turning_circle,regular
125499078,highway,turning_circle,regular
125500404,highway,turning_circle,regular
125501962,highway,turning_loop,regular
125505829,highway,turning_circle,regular
125505829,source,bing,regular
125506624,highway,turning_circle,regular
125506826,highway,turning_loop,regular
125506832,highway,turning_circle,regular
125506832,source,bing,regular
125507834,highway,stop,regular
125507850,highway,turning_circle,regular
125507850,source,bing,regular
125508157,highway,turning_circle,regular
125508157,source,bing,regular
125508161,highway,turning_circle,regular
125508161,source,bing,regular
125508316,railway,level_crossing,regular
125511239,highway,turning_circle,regular
125511239,source,bing,regular
125511449,highway,traffic_signals,regular
125512400,highway,turning_circle,regular
125512410,highway,turning_circle,regular
125512533,highway,turning_circle,regular
125512533,source,bing,regular
125512693,highway,turning_circle,regular
125512693,source,bing,regular
125514045,highway,turning_circle,regular
125517893,highway,stop,regular
125523065,railway,level_crossing,regular
125524259,highway,turning_circle,regular
125524259,source,bing,regular
125524633,highway,turning_circle,regular
125524633,source,bing,regular
125524871,highway,turning_circle,regular
125528137,highway,turning_circle,regular
125528137,source,bing,regular
125532399,highway,turning_circle,regular
125535336,highway,turning_circle,regular
125535336,source,bing,regular
125535688,highway,turning_circle,regular
125535688,source,bing,regular
125538754,highway,turning_circle,regular
125538754,source,bing,regular
125539145,highway,turning_circle,regular
125539730,direction,forward,regular
125539730,highway,stop,regular
153352932,created_by,Potlatch 0.9a,regular
153352932,ele,7,regular
153352932,gnis:Class,Populated Place,regular
153352932,gnis:County,Jackson,regular
153352932,gnis:County_num,059,regular
153352932,gnis:ST_alpha,MS,regular
153352932,gnis:ST_num,28,regular
153352932,id,688989,gnis
153352932,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153352932,is_in,"Jackson,Mississippi,Miss.,MS,USA",regular
153352932,name,Fort Bayou Estates,regular
153352932,place,hamlet,regular
153357445,ele,15,regular
153357445,gnis:Class,Populated Place,regular
153357445,gnis:County,Jackson,regular
153357445,gnis:County_num,059,regular
153357445,gnis:ST_alpha,MS,regular
153357445,gnis:ST_num,28,regular
153357445,id,1796357,gnis
153357445,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153357445,is_in,"Jackson,Mississippi,Miss.,MS,USA",regular
153357445,name,Martins Pine Hill Estates,regular
153357445,place,hamlet,regular
153476079,ele,10,regular
153476079,gnis:Class,Populated Place,regular
153476079,gnis:County,Harrison,regular
153476079,gnis:County_num,047,regular
153476079,gnis:ST_alpha,MS,regular
153476079,gnis:ST_num,28,regular
153476079,id,1867334,gnis
153476079,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153476079,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153476079,name,Wool Market,regular
153476079,place,hamlet,regular
153493949,ele,13,regular
153493949,gnis:Class,Populated Place,regular
153493949,gnis:County,Harrison,regular
153493949,gnis:County_num,047,regular
153493949,gnis:ST_alpha,MS,regular
153493949,gnis:ST_num,28,regular
153493949,id,711068,gnis
153493949,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153493949,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153493949,name,Coalville,regular
153493949,place,hamlet,regular
153517796,population,7064;2006,census
153517796,ele,4,regular
153517796,gnis:Class,Populated Place,regular
153517796,gnis:County,Harrison,regular
153517796,gnis:County_num,047,regular
153517796,gnis:ST_alpha,MS,regular
153517796,gnis:ST_num,28,regular
153517796,id,669069,gnis
153517796,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153517796,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153517796,name,D'Iberville,regular
153517796,place,village,regular
153517796,population,7064,regular
153531469,ele,3,regular
153531469,gnis:Class,Populated Place,regular
153531469,gnis:County,Harrison,regular
153531469,gnis:County_num,047,regular
153531469,gnis:ST_alpha,MS,regular
153531469,gnis:ST_num,28,regular
153531469,id,668211,gnis
153531469,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153531469,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153531469,name,Cedar Lake,regular
153531469,place,hamlet,regular
153555924,ele,4,regular
153555924,gnis:Class,Populated Place,regular
153555924,gnis:County,Jackson,regular
153555924,gnis:County_num,059,regular
153555924,gnis:ST_alpha,MS,regular
153555924,gnis:ST_num,28,regular
153555924,id,1867332,gnis
153555924,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153555924,is_in,"Jackson,Mississippi,Miss.,MS,USA",regular
153555924,name,Saint Martin,regular
153555924,place,hamlet,regular
153562876,ele,7,regular
153562876,gnis:Class,Populated Place,regular
153562876,gnis:County,Harrison,regular
153562876,gnis:County_num,047,regular
153562876,gnis:ST_alpha,MS,regular
153562876,gnis:ST_num,28,regular
153562876,id,688766,gnis
153562876,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153562876,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153562876,name,De Buys,regular
153562876,place,hamlet,regular
153584541,population,17140;2006,census
153584541,ele,7,regular
153584541,gnis:Class,Populated Place,regular
153584541,gnis:County,Jackson,regular
153584541,gnis:County_num,059,regular
153584541,gnis:ST_alpha,MS,regular
153584541,gnis:ST_num,28,regular
153584541,id,675137,gnis
153584541,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153584541,is_in,"Jackson,Mississippi,Miss.,MS,USA",regular
153584541,name,Ocean Springs,regular
153584541,place,town,regular
153584541,population,17140,regular
153584541,wikidata,Q1769542,regular
153622597,ele,7,regular
153622597,gnis:Class,Populated Place,regular
153622597,gnis:County,Harrison,regular
153622597,gnis:County_num,047,regular
153622597,gnis:ST_alpha,MS,regular
153622597,gnis:ST_num,28,regular
153622597,id,672870,gnis
153622597,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153622597,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153622597,name,Loraine,regular
153622597,place,hamlet,regular
153633254,population,44342;2006,census
153633254,ele,6,regular
153633254,gnis:Class,Populated Place,regular
153633254,gnis:County,Harrison,regular
153633254,gnis:County_num,047,regular
153633254,gnis:ST_alpha,MS,regular
153633254,gnis:ST_num,28,regular
153633254,id,667173,gnis
153633254,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153633254,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153633254,name,Biloxi,regular
153633254,en,Biloxi,name
153633254,ru,Билокси,name
153633254,uk,Білоксі,name
153633254,place,city,regular
153633254,population,44342,regular
153633254,wikidata,Q490720,regular
153679880,ele,9,regular
153679880,gnis:Class,Populated Place,regular
153679880,gnis:County,Harrison,regular
153679880,gnis:County_num,047,regular
153679880,gnis:ST_alpha,MS,regular
153679880,gnis:ST_num,28,regular
153679880,id,690915,gnis
153679880,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153679880,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153679880,name,Handsboro,regular
153679880,place,hamlet,regular
153722306,ele,6,regular
153722306,gnis:Class,Populated Place,regular
153722306,gnis:County,Harrison,regular
153722306,gnis:County_num,047,regular
153722306,gnis:ST_alpha,MS,regular
153722306,gnis:ST_num,28,regular
153722306,id,673696,gnis
153722306,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153722306,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153722306,name,Mississippi City,regular
153722306,place,hamlet,regular
153748790,ele,7,regular
153748790,gnis:Class,Populated Place,regular
153748790,gnis:County,Harrison,regular
153748790,gnis:County_num,047,regular
153748790,gnis:ST_alpha,MS,regular
153748790,gnis:ST_num,28,regular
153748790,id,669670,gnis
153748790,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153748790,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153748790,name,Edgewater Park,regular
153748790,place,hamlet,regular
153770709,ele,23,regular
153770709,gnis:Class,Populated Place,regular
153770709,gnis:County,Harrison,regular
153770709,gnis:County_num,047,regular
153770709,gnis:ST_alpha,MS,regular
153770709,gnis:ST_num,28,regular
153770709,id,711067,gnis
153770709,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153770709,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153770709,name,Bulah,regular
153770709,place,hamlet,regular
153774740,ele,4,regular
153774740,gnis:Class,Populated Place,regular
153774740,gnis:County,Jackson,regular
153774740,gnis:County_num,059,regular
153774740,gnis:ST_alpha,MS,regular
153774740,gnis:ST_num,28,regular
153774740,id,670768,gnis
153774740,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153774740,is_in,"Jackson,Mississippi,Miss.,MS,USA",regular
153774740,name,Gulf Hills,regular
153774740,place,hamlet,regular
153788629,ele,7,regular
153788629,gnis:Class,Populated Place,regular
153788629,gnis:County,Harrison,regular
153788629,gnis:County_num,047,regular
153788629,gnis:ST_alpha,MS,regular
153788629,gnis:ST_num,28,regular
153788629,id,688830,gnis
153788629,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153788629,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153788629,name,North Biloxi,regular
153788629,place,hamlet,regular
208518096,power,tower,regular
208521326,highway,traffic_signals,regular
